Territorio,Población,Confirmados_PDIA,Confirmados_PDIA_14_días,Tasa_PDIA_14_días,Confirmados_PDIA_7_días,Total_confirmados,Curados,Fallecidos
Láchar,3471,116,42,1210.0259291270527,10,116,8,1
Lecrín,2134,31,5,234.30178069353326,1,31,9,2
Loja,20342,794,286,1405.9581162127618,128,804,161,23
Malahá (La),1781,38,9,505.33408197641774,2,38,11,0
Maracena,22116,743,254,1148.4897811539158,109,767,184,13
Moclín,3651,101,40,1095.5902492467817,8,101,10,3
Monachil,7939,289,100,1259.6044841919638,48,295,65,3
Montefrío,5433,170,72,1325.2346769740475,29,182,41,8
Montejícar,2113,36,16,757.2172266919073,9,37,1,1
Montillana,1189,12,3,252.31286795626576,2,13,3,0
Moraleda de Zafayona,3153,80,30,951.4747859181732,13,80,4,0
Nigüelas,1173,15,7,596.7604433077579,3,16,3,0
Nívar,994,16,7,704.2253521126761,5,18,3,0
Ogíjares,14160,579,150,1059.322033898305,61,590,131,12
Villa de Otura,6952,174,54,776.7548906789414,17,180,54,1
Padul,8420,265,96,1140.142517814727,34,274,45,2
Peligros,11394,589,187,1641.2146743900298,71,597,72,17
Pinar (El),877,8,5,570.1254275940707,4,8,0,0
Pinos Genil,1457,55,18,1235.4152367879203,4,56,12,1
Pinos Puente,9930,385,167,1681.7724068479356,66,389,49,13
Píñar,1138,12,3,263.62038664323376,0,12,4,1
Pulianas,5429,217,70,1289.3718916927612,26,217,32,1
Quéntar,933,18,8,857.449088960343,4,18,7,0
Salar,2631,89,37,1406.3093880653744,12,89,6,0
Santa Cruz del Comercio,528,6,2,378.7878787878788,2,6,1,0
Santa Fe,15157,709,328,2164.0166259813946,82,723,161,29
Torre-Cardela,736,13,7,951.0869565217391,6,13,1,0
Valderrubio,2086,108,48,2301.0546500479386,14,108,16,0
Valle (El),914,17,10,1094.0919037199126,2,17,1,0
Vegas del Genil,11166,403,119,1065.7352677771808,39,409,100,8
Ventas de Huelma,640,44,27,4218.75,5,45,4,0
Villamena,948,13,9,949.367088607595,7,13,3,0
Villanueva Mesía,2021,38,11,544.2850074220682,6,39,4,2
Víznar,976,23,9,922.1311475409836,1,23,5,0
Zafarraya,2137,40,3,140.38371548900327,0,40,8,0
Zagra,834,47,15,1798.5611510791366,2,47,8,1
Zubia (La),19155,728,222,1158.966327329679,104,765,169,16
Municipio de Granada sin especificar,0,519,51,0.0,19,520,126,6
